,word,en,total
1,produto,product,6
2,comprei,bought,5
3,bom,Good,3
4,dentro,inside,3
5,mercadoria,merchandise,3
6,minha,mine,3
7,prazo,deadline,3
8,recebi,I received,3
9,adorei,I loved it,2
10,antes,before,2
11,com,with,2
12,duas,two,2
13,entrega,delivery,2
14,esperado,expected,2
15,expectativas,expectations,2
16,gostei,liked it,2
17,mas,but,2
18,minhas,my,2
19,muito,very,2
20,não,not,2
21,recomendo,I recommend,2
22,só,only,2
23,super,super,2
24,superou,overcame,2
25,uma,an,2
26,unidades,units,2
27,veio,he came,2
28,achei,I found,1
29,aguardando,waiting,1
30,anúncio,announcement,1
31,atraso,delay,1
32,bastante,quite,1
33,boa,Good,1
34,como,like,1
35,condiz,matches,1
36,contato,contact,1
37,corino,corino,1
38,defeito,defect,1
39,descosturado,unsewn,1
40,determinado,determined,1
41,entregaram,delivered,1
42,entregue,delivered,1
43,era,was,1
44,esse,this,1
45,está,it is,1
46,este,This one,1
47,estou,I am,1
48,fabricação,manufacturing,1
49,feita,made,1
50,fiquei,I was left,1
51,foi,was,1
52,loja,store,1
53,meu,mine,1
54,nenhum,none,1
55,onde,Where,1
56,outro,other,1
57,parabéns,Happy birthday,1
58,parte,part,1
59,pela,for the,1
60,pena,pity,1
61,porta,door,1
62,prometido,promised,1
63,protetor,protector,1
64,qualidade,quality,1
65,quero,I want,1
66,saber,know,1
67,satisfeita,satisfied,1
68,sobre,about,1
69,tarde,evening,1
70,tecido,tissue,1
71,veda,seal,1
