,word,en,total
1,produto,product,44
2,não,not,21
3,prazo,deadline,20
4,qualidade,quality,16
5,entrega,delivery,15
6,comprei,bought,13
7,recebi,I received,12
8,antes,before,11
9,boa,Good,11
10,chegou,has arrived,11
11,por,per,9
12,veio,he came,9
13,pedi,I asked,8
14,entregue,delivered,7
15,mas,but,7
16,muito,very,7
17,nao,no,7
18,bom,Good,6
19,correios,post offices,6
20,dentro,inside,6
21,doa,hurts,6
22,entendo,I understand,6
23,greve,strike,6
24,motivo,reason,6
25,outro,other,6
26,conforme,according,5
27,foi,was,5
28,vale,Valley,5
29,anunciado,announced,4
30,com,with,4
31,como,like,4
32,duas,two,4
33,errado,wrong,4
34,loja,store,4
35,ótima,excellent,4
36,para,for,4
37,pedido,request,4
38,tinha,he had,4
39,baixissima,very low,3
40,entregaram,delivered,3
41,estou,I am,3
42,excelente,great,3
43,mandaram,sent,3
44,mandou,sent,3
45,menor,smaller,3
46,nota,note,3
47,número,number,3
48,pois,because,3
49,produtos,products,3
50,recomendo,I recommend,3
51,satisfeito,pleased,3
52,sem,without,3
53,sempre,ever,3
54,tive,had,3
55,trocar,to replace,3
56,acho,think,2
57,ainda,yet,2
58,apenas,only,2
59,avisar,warn,2
60,calças,trousers,2
61,camisa,shirt,2
62,cancelou,canceled,2
63,compra,purchase,2
64,consigo,I can,2
65,consta,appears,2
66,correto,right,2
67,desconto,discount,2
68,deu,it gave,2
69,devolução,devolution,2
70,disse,he said,2
71,enviado,Sent,2
72,faço,I do,2
73,fazer,do,2
74,foram,were,2
75,gostei,liked it,2
76,isso,that,2
77,lannister,lannister,2
78,ligar,turn on,2
79,lojas,Shops,2
80,mais,most,2
81,material,material,2
82,mesmo,same,2
83,meu,mine,2
84,momento,time,2
85,negociação,negotiation,2
86,ninguém,nobody,2
87,ótimo,excellent,2
88,outra,other,2
89,perguntar,to ask,2
90,pra,for,2
91,preço,price,2
92,quando,When,2
93,rápida,fast,2
94,recebido,Received,2
95,ruim,bad,2
96,só,only,2
97,status,status,2
98,tamanho,size,2
99,tem,have,2
100,troca,replacement,2
101,tudo,everything,2
102,uma,an,2
103,usar,to use,2
104,vou,I'm going,2
105,absurdo,absurd,1
106,aconteça,happen,1
107,aconteceu,It happened,1
108,adquirido,acquired,1
109,agora,now,1
110,aguardando,waiting,1
111,anuncio,announcement,1
112,apesar,although,1
113,ate,until,1
114,até,until,1
115,atenção,attention,1
116,atendimento,attendance,1
117,avaliação,evaluation,1
118,azul,blue,1
119,baixa,low,1
120,balão,balloon,1
121,bem,well,1
122,blusa,blouse,1
123,boas,good,1
124,burocracia,bureaucracy,1
125,calça,pants,1
126,camisas,shirts,1
127,cancelamento,cancellation,1
128,capas,covers,1
129,casa,House,1
130,caso,case,1
131,certo,right,1
132,chegada,arrival,1
133,claro,clear,1
134,complicado,complicated,1
135,compradas,bought,1
136,comprar,purchase,1
137,compro,buy,1
138,conseguindo,getting,1
139,contato,contact,1
140,contínua,to be continued,1
141,cor,color,1
142,cortes,polite,1
143,costura,sewing,1
144,data,date,1
145,demora,delay,1
146,demorou,delayed,1
147,der,give,1
148,deram,gave,1
149,descrito,described,1
150,desenho,design,1
151,destinatário,recipient,1
152,devolvidas,returned,1
153,dias,days,1
154,diferença,difference,1
155,ela,Is it over there,1
156,entre,in between,1
157,entregou,delivered,1
158,entregues,handed out,1
159,enviaram,sent,1
160,erradas,wrong,1
161,escolhendo,choosing,1
162,escolhi,I chose,1
163,escuro,dark,1
164,esperar<U+0001F60D>,wait<U+0001F60D>,1
165,essa,That,1
166,esta,it is,1
167,estampa,print,1
168,estava,was,1
169,estipulado,stipulated,1
170,estresse,stress,1
171,faltam,missing,1
172,fico,I am,1
173,filho,son,1
174,fiquei,I was left,1
175,físico,physicist,1
176,fornecidas,provided,1
177,gerou,generated,1
178,gostou,You like it,1
179,hiper,hyper,1
180,igual,equal,1
181,informado,informed,1
182,já,already,1
183,joia,jewel,1
184,justiça,justice,1
185,maior,bigger,1
186,maquinetada,dobby,1
187,medidas,measures,1
188,melhor,best,1
189,melhoria,improvement,1
190,minha,mine,1
191,modelo,model,1
192,mudarei,I will change,1
193,nada,nothing,1
194,numero,number,1
195,nunca,Never,1
196,obrigado,thanks,1
197,otima,excellent,1
198,otimo,excellent,1
199,outras,others,1
200,parece,looks,1
201,pelas,by,1
202,pena,pity,1
203,perfeito,Perfect,1
204,perfeitos,perfect,1
205,polo,pole,1
206,possivel,possible,1
207,prejuizo,prejudice,1
208,prevista,Preview,1
209,previsto,foreseen,1
210,problema,problem,1
211,prod,prod,1
212,rápido,fast,1
213,rastreamento,tracking,1
214,recebidas,received,1
215,recomendável,recommendable,1
216,resolução,resolution,1
217,sei,know,1
218,semanas,weeks,1
219,seria,would be,1
220,serviu,served,1
221,site,site,1
222,sitepedi,site asked,1
223,somente,only,1
224,super,super,1
225,tecido,tissue,1
226,ter,to have,1
227,tipo,type,1
228,top,top,1
229,três,three,1
230,valeu,it cost,1
231,verde,green,1
